Currency units per SDR for March 2017
Currency	March 01, 2017	March 02, 2017	March 03, 2017	March 06, 2017	March 07, 2017	March 08, 2017	March 09, 2017	March 10, 2017	March 13, 2017	March 14, 2017	March 15, 2017
U.A.E. dirham	4.980150	4.982910	4.986110	4.999850	5.001030	5.002800	5.006030	5.020690	5.016230	5.001450	4.994280	4.983030
Uruguayan peso	38.287200	38.372100	38.307300	38.551500	38.619300	38.878100	38.751900	38.891300	38.871900	39.020100	39.016000	38.701300
Bolivar Soberano	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
